date,temperature (celsius),precipitation (mm/day),flow_observed (mm/day),pet (mm/day),aet (mm/day),precip_minus_pet (mm/day),infiltration (mm/day),infiltration_excess,q_root,sub_flow,karst_flow,imp_flow,root_zone_avg,flow_predicted (mm/day),flow_predicted maximum (mm/hour),flow_predicted minimum (mm/hour),flow_predicted median (mm/hour),flow_predicted average (mm/hour),discharge_predicted maximum (cfs),discharge_predicted minimum (cfs),discharge_predicted median (cfs),discharge_predicted average (cfs),saturation_deficit_avgs (mm/day),sat_overland_flow,return_flow,overland_flow
2004-09-29,16.1000000000000014,0.0000000000000000,0.5005021700000000,2.6261504215377980,0.6496048164752604,-2.6261504215377980,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.9313244122326052,0.0000000000000000,0.0000000000000000,17.7771490452055723,0.9313203369525553,0.0404298966506755,0.0372625716357697,0.0387817368811442,0.0388050140396898,0.3144989955084380,0.2898607792833667,0.3016781714426824,0.3018592414821169,236.3888249125791106,0.0000000000000000,0.0000000000000000,0.0000000000000000
2004-09-30,17.0555555599999984,0.0000000000000000,0.4650339660000000,2.7716618104972217,0.6369354804015670,-2.7716618104972217,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.8582270665296828,0.0000000000000000,0.0000000000000000,17.1341529251776308,0.8582233111082673,0.0371360903030732,0.0344470069345869,0.0357410938164725,0.0357593046295111,0.2888768971718865,0.2679588615524889,0.2780253979072601,0.2781670574929257,237.2810825228599185,0.0000000000000000,0.0000000000000000,0.0000000000000000
2004-10-01,18.7666666699999993,0.0000000000000000,0.4343356660000000,3.0577994961757859,0.6509502836043871,-3.0577994961757859,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.7957812969565614,0.0000000000000000,0.0000000000000000,16.4895821068073190,0.7957778147847200,0.0343389034912715,0.0320273086080145,0.0331428941252446,0.0331574089493633,0.2671179386921742,0.2491363377227686,0.2578143347902375,0.2579272437507711,238.1060000366072984,0.0000000000000000,0.0000000000000000,0.0000000000000000
2004-10-02,17.4027777800000010,10.4140000000000015,0.4472241120000000,2.8098661019321916,2.8098661019321916,7.6041338980678095,7.5881008589168859,0.0156639218076283,0.0000000000000000,0.7856081566092641,0.0000000000000000,0.0000477394261701,19.3465424839846030,0.8013163116447146,0.0350425855276277,0.0319163040750555,0.0335121155346726,0.0333881796518631,0.2725917912598304,0.2482728476571341,0.2606864609148381,0.2597223795324933,238.1867224402450631,0.0000000000000000,0.0000000000000000,0.0156639218076283
2004-10-03,16.8694444399999988,0.0000000000000000,0.4387633110000000,2.7119423975132491,1.0025274571592655,-2.7119423975132491,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.7906171143872026,0.0000000000000000,0.0000000000000000,21.7228734084048511,0.7906136548127396,0.0338544794009816,0.0318562127136662,0.0329586864108554,0.0329422356171975,0.2633496656462992,0.2478054046419078,0.2563814065381353,0.2562534379181453,238.1728164785982926,0.0000000000000000,0.0000000000000000,0.0000000000000000
2004-10-04,16.5749999999999993,0.0000000000000000,0.4113982780000000,2.6549601114064258,0.8975492214389118,-2.6549601114064258,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.7379888613250020,0.0000000000000000,0.0000000000000000,20.7762682196217234,0.7379856320407224,0.0317637493398739,0.0297760299154310,0.0307378273341827,0.0307494013350301,0.2470861438822216,0.2316239286868367,0.2391056278040413,0.2391956604764464,238.9295382264866419,0.0000000000000000,0.0000000000000000,0.0000000000000000
2004-10-05,13.9388888899999994,0.0000000000000000,0.3872791300000000,2.2538562041874446,1.3174596964709915,-2.2538562041874446,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.6913538605286996,0.0000000000000000,0.0000000000000000,19.6598658592884057,0.6913508353093902,0.0296952389807998,0.0279510130322769,0.0287967706217826,0.0288062848045579,0.2309954663386089,0.2174273557522806,0.2240063958779920,0.2240804054890427,239.6427310385758176,0.0000000000000000,0.0000000000000000,0.0000000000000000
2004-10-06,12.6472222199999997,0.0000000000000000,0.3658676430000000,2.0736279612126802,1.1436732007166810,-2.0736279612126802,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.6502673244838593,0.0000000000000000,0.0000000000000000,18.4342149413898042,0.6502644790506035,0.0278798162610795,0.0263369115702091,0.0270864377471589,0.0270943532937751,0.2168735251744160,0.2048714669046018,0.2107019351789760,0.2107635092037925,240.3122664939107551,0.0000000000000000,0.0000000000000000,0.0000000000000000
2004-10-07,15.3750000000000000,0.0000000000000000,0.3467284700000000,2.4430475663631559,0.5908601542002914,-2.4430475663631559,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.6137940722303996,0.0000000000000000,0.0000000000000000,17.5804663156248111,0.6137913863964364,0.0262736955933991,0.0248991479370954,0.0255679850847397,0.0255746410998515,0.2043797179056219,0.1936872874766962,0.1988900861113385,0.1989418624016625,240.9431867755797612,0.0000000000000000,0.0000000000000000,0.0000000000000000
2004-10-08,15.7722222199999997,0.0000000000000000,0.3295153670000000,2.4936997622910897,0.5641653649641583,-2.4936997622910897,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.5811979990944289,0.0000000000000000,0.0000000000000000,17.0036992874411332,0.5811954558940364,0.0248426419312783,0.0236103128616685,0.0242108271118738,0.0242164773289182,0.1932477344839387,0.1836616042527195,0.1883329278059276,0.1883768801217152,241.5397075783231173,0.0000000000000000,0.0000000000000000,0.0000000000000000
